Choose the category that suits you most.,Area of Study,What is your current level of study?,What year of study are you in?,In which county is your institution located?,What is the ownership nature of your institution?,How satisfied are you with the quality of training provided in your course?,Training Aspects:Teaching quality,Clinical exposure,Assessment Methods,Learning Resources,Support from faculty,How do you perceive your career opportunities after qualification?,How satisfied are you with expected remuneration after qualification?,How do you view your prospects for career progression after qualification?,Who played the strongest role in influencing your decision to choose your current course?,Other (please specify),Did you receive any structured career guidance before choosing this course?,How satisfied were you with the career guidance you received before selecting this course?,"In hindsight, do you feel the guidance you received was sufficient to help you make an informed decision?",What type of additional guidance would have better supported your career choice?,Other (please specify),Was a health science course your first choice?,Factors in your career choice:Personal interest,Work-life balance,Income and job security,Prestige,Family expectations,Opportunities for advancement,Desire to serve the society,Where do you intend to work after graduation?,How likely are you to seek employment outside Kenya within the first 5 years after graduation?,"If you intend to migrate, please rank the following reasons in order of importance : Better remuneration",Better working conditions,Career growth opportunities,Desire for specialization training,Family relocation,Political/economic stability,Personal preference,"Knowing what you know now, would you still choose to study the same course?",Have you ever considered dropping out of the health science course?,Affect your medical training experience: Stress,Long journey/commute,Feeling emotionally drained,High workload,Frequent examinations,High faculty demands,Dislocation from family and friends,Financial strains,Loss of interest in the course,Inadequate role models,Experience of verbal or physical violence,I feel supported by my institution,I am confident in my clinical skills,Would you recommend this course to a friend or family member?
Student,Pharmacy,Undergraduate,2nd,Kiambu,Public,Very dissatisfied,Good,Good,Excellent,Excellent,Good,Good,Neither satisfied nor dissatisfied,Neutral,My own personal research,,"Some guidance, but informal",Satisfied,Yes,Career counselling sessions,,Yes,Important,Moderately important,Very Important,Very Important,Very Important,Very Important,Very Important,Undecided,Likely,3,2,4,5,6,7,1,Yes,Sometimes,6,7,8,2,4,3,9,1,10,5,11,Agree,Neutral,Yes
Student,Nutrition and dietetics,Undergraduate,4th,Nairobi,Private not for profit (Faith Based),Very satisfied,Excellent,Good,Excellent,Good,Good,Good,Satisfied,Good,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Very Important,Important,Very Important,Not important,Somewhat important,Very Important,Very Important,In my home country,Neither likely nor unlikely,1,2,3,4,5,7,6,Yes,Never,3,1,2,10,7,6,4,5,11,8,9,Neutral,Neutral,Yes
Student,Speech and language therapy ,Diploma,1st,Nairobi,Public,Very satisfied,Excellent,Neutral,Neutral,Excellent,Excellent,Very Good,Satisfied,Excellent,My own personal research,,"Some guidance, but informal",Satisfied,Yes,More information on job prospects,,Yes,Important,Important,Important,Important,Not important,Important,Very Important,In my home country,unlikely,2,4,1,3,7,5,6,Yes,Never,2,11,4,3,5,7,8,6,10,1,9,Strongly agree,Agree,Yes
Student,Community health ,Diploma,3rd,Nairobi,Public,Satisfied,Good,Good,Good,Good,Good,Good,Satisfied,Good,A healthcare professional or mentor,,"Yes, formal/structured guidance",Satisfied,Yes,More information on job prospects,,Yes,Very Important,Moderately important,Important,Important,Important,Important,Important,In my home country,Likely,5,3,1,4,7,6,2,Yes,Rarely,1,11,3,5,4,8,9,6,7,10,2,Agree,Agree,Yes
Student,Nursing and midwifery,Undergraduate,3rd,Kilifi,Public,Neither satisfied nor dissatisfied,Good,Neutral,Good,Poor,Good,Very Poor,Very dissatisfied,Very Poor,Parents/Family,,"No, I did not receive career guidance",,,,,Yes,Very Important,Important,Very Important,Moderately important,Important,Very Important,Very Important,Undecided,Very likely,1,5,3,4,7,2,6,Not sure,Sometimes,2,6,7,3,5,4,8,1,10,9,11,Disagree,Agree,Not Sure
Student,Health records and information technology ,Diploma,2nd,Nairobi,Public,Very satisfied,Excellent,Excellent,Excellent,Excellent,Good,Very Good,Very satisfied,Excellent,"Media (internet, TV, social media)",,"Yes, formal/structured guidance",Satisfied,Yes,More information on job prospects,,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Abroad,Likely,2,1,5,4,6,7,3,Yes,Sometimes,3,6,2,8,7,5,4,1,11,10,9,Strongly agree,Strongly agree,Yes
Student,Nursing and midwifery,Undergraduate,1st,Kakamega,Public,Very satisfied,Good,Good,Excellent,Good,Neutral,Very Good,Satisfied,Good,Parents/Family,,"Some guidance, but informal",Satisfied,Yes,Exposure to healthcare professionals,,Yes,Moderately important,Important,Very Important,Moderately important,Somewhat important,Very Important,Very Important,Abroad,Very likely,3,6,1,2,7,5,4,Yes,Never,6,1,2,3,5,8,7,4,10,9,11,Agree,Strongly agree,Yes
Student,Nutrition and dietetics,Undergraduate,4th,Kiambu,Private for profit,Very satisfied,Excellent,Good,Good,Excellent,Neutral,Neutral,Satisfied,Neutral,Parents/Family,,"Yes, formal/structured guidance",Satisfied,Somewhat,More information on job prospects,,Yes,Very Important,Important,Important,Moderately important,Moderately important,Important,Moderately important,In my home country,unlikely,2,1,4,5,6,7,3,Yes,Never,3,1,4,6,2,7,8,5,9,10,11,Neutral,Strongly agree,Yes
Student,Nutrition and dietetics,Undergraduate,4th,Kiambu,Private for profit,Very satisfied,Excellent,Good,Good,Good,Excellent,Neutral,Neither satisfied nor dissatisfied,Neutral,Teachers/School Counsellors,,"No, I did not receive career guidance",,,,,Yes,Important,Very Important,Very Important,Moderately important,Moderately important,Very Important,Important,In my home country,Very unlikely,1,2,3,5,6,4,7,No,Rarely,2,11,4,3,6,5,7,1,8,10,9,Strongly agree,Neutral,No
Student,Nutrition and dietetics,Undergraduate,4th,Kiambu,Public,Satisfied,Good,Neutral,Neutral,Good,Good,Good,Satisfied,Good,My own personal research,,"Yes, formal/structured guidance",Satisfied,Yes,More information on job prospects,,Yes,Important,Important,Important,Important,Important,Important,Important,Undecided,Neither likely nor unlikely,4,1,2,5,6,7,3,Yes,Never,2,4,3,5,7,6,8,1,9,10,11,Strongly disagree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nakuru,Public,Satisfied,Excellent,Excellent,Good,Excellent,Good,Very Good,Neither satisfied nor dissatisfied,Good,My own personal research,,"Yes, formal/structured guidance",Satisfied,Somewhat,Better understanding of academic demands,,Prefer not to say,Important,Very Important,Very Important,Important,Not important,Important,Important,Undecided,Neither likely nor unlikely,2,1,4,3,7,6,5,Not sure,Sometimes,1,5,3,2,6,4,8,7,9,10,11,Neutral,Agree,Not Sure
Student,Clinical Medicine,Undergraduate,3rd,Kiambu,Public,Satisfied,Good,Good,Good,Good,Neutral,Neutral,Neither satisfied nor dissatisfied,Good,My own personal research,,"Some guidance, but informal",Satisfied,Yes,More information on job prospects,,Yes,Important,Somewhat important,Important,Important,Important,Important,Important,In my home country,Neither likely nor unlikely,1,2,4,3,6,7,5,Yes,Sometimes,1,8,2,3,4,5,7,6,10,11,9,Agree,Neutral,Yes
Student,Occupational therapy,Diploma,2nd,Nairobi,Public,Very dissatisfied,Excellent,Good,Neutral,Good,Good,Neutral,Satisfied,Good,My own personal research,,"Yes, formal/structured guidance",Satisfied,Yes,More information on job prospects,,Yes,Important,Important,Important,Important,Very Important,Very Important,Important,Undecided,Likely,1,2,3,4,5,6,7,Yes,Never,4,3,7,2,5,10,6,1,8,9,11,Neutral,Strongly agree,Yes
Student,Occupational therapy,Diploma,2nd,Nairobi,Public,Very dissatisfied,Excellent,Good,Excellent,Excellent,Excellent,Good,Satisfied,Excellent,My own personal research,,"Some guidance, but informal",Very dissatisfied,Yes,More information on job prospects,,Yes,Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Abroad,Very unlikely,3,2,1,5,6,7,4,Yes,Never,1,3,2,4,5,6,7,8,9,11,10,Strongly agree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,3rd,Kakamega,Public,Satisfied,Good,Good,Good,Neutral,Poor,Very Good,Satisfied,Excellent,My own personal research,,"Some guidance, but informal",Satisfied,Somewhat,Better understanding of academic demands,,Yes,Very Important,Moderately important,Very Important,Very Important,Moderately important,Very Important,Important,Undecided,Likely,4,3,2,1,6,7,5,Yes,Sometimes,5,7,1,2,6,3,10,9,4,8,11,Neutral,Agree,Yes
Student,Dental and oral health,Undergraduate,4th,Nairobi,Private not for profit (Faith Based),Satisfied,Good,Neutral,Good,Good,Good,Good,Satisfied,Excellent,My own personal research,,"Yes, formal/structured guidance",Very satisfied,Yes,Exposure to healthcare professionals,,Yes,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,In my home country,Very unlikely,2,5,3,4,7,6,1,Yes,Never,8,2,5,7,6,4,9,3,10,1,11,Agree,Neutral,Yes
Student,Medicine and Surgery,Diploma,1st,Nairobi,Public,Very satisfied,Excellent,Excellent,Excellent,Excellent,Good,Very Good,Very satisfied,Excellent,My own personal research,,"Yes, formal/structured guidance",Very satisfied,Yes,Information on remuneration and working conditions,,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,In my home country,Very likely,4,3,2,5,6,7,1,Yes,Never,3,2,4,6,7,8,9,1,5,10,11,Strongly agree,Strongly agree,Yes
Student,Medicine and Surgery,Diploma,1st,Nairobi,Public,Dissatisfied,Neutral,Good,Poor,Neutral,Good,Good,Satisfied,Good,Parents/Family,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Better understanding of academic demands,,No,Moderately important,Moderately important,Important,Important,Very Important,Very Important,Very Important,In my home country,Likely,5,2,1,4,7,3,6,Yes,Sometimes,1,10,3,2,4,6,9,5,7,8,11,Neutral,Agree,Yes
Student,Laboratory sciences,Undergraduate,3rd,Kakamega,Public,Satisfied,Neutral,Good,Good,Good,Neutral,Good,Neither satisfied nor dissatisfied,Neutral,My own personal research,,"No, I did not receive career guidance",,,,,No,Important,Moderately important,Moderately important,Somewhat important,Moderately important,Important,Moderately important,Undecided,Neither likely nor unlikely,5,3,6,7,4,2,1,No,Sometimes,8,5,4,3,6,2,9,1,11,10,7,Agree,Strongly agree,Yes
Student,Medicine and Surgery,Diploma,1st,Nairobi,Public,Neither satisfied nor dissatisfied,Poor,Neutral,Neutral,Neutral,Poor,Good,Neither satisfied nor dissatisfied,Good,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Very Important,Very Important,Not important,Very Important,Not important,Undecided,Likely,3,1,5,4,7,6,2,Not sure,Sometimes,1,5,3,2,6,7,8,9,4,10,11,Neutral,Neutral,No
Student,Nursing and midwifery,Undergraduate,3rd,Kakamega,Public,Very satisfied,Excellent,Excellent,Excellent,Good,Excellent,Good,Satisfied,Good,A healthcare professional or mentor,,"Yes, formal/structured guidance",Very satisfied,Yes,Information on remuneration and working conditions,,Yes,Very Important,Very Important,Important,Not important,Not important,Important,Very Important,In my home country,Likely,4,2,5,6,7,3,1,Yes,Never,2,8,1,5,4,6,10,7,9,11,3,Strongly agree,Agree,Yes
Student,Nursing and midwifery,Undergraduate,3rd,Kakamega,Public,Dissatisfied,Good,Neutral,Neutral,Neutral,Poor,Neutral,Dissatisfied,Neutral,Parents/Family,,"Some guidance, but informal",Neither satisfied nor dissatisfied,No,Career counselling sessions,,Yes,Very Important,Important,Very Important,Very Important,Moderately important,Very Important,Very Important,Abroad,Very likely,4,3,1,2,7,5,6,Not sure,Sometimes,4,2,3,6,7,5,8,1,9,10,11,Neutral,Neutral,Not Sure
Student,Nursing and midwifery,Undergraduate,5th and above,Kisumu,Private for profit,Satisfied,Neutral,Neutral,Good,Good,Good,Good,Neither satisfied nor dissatisfied,Neutral,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Moderately important,Moderately important,Moderately important,Moderately important,Important,Undecided,Neither likely nor unlikely,1,2,4,3,6,7,5,No,Rarely,2,5,4,6,7,3,8,1,9,10,11,Neutral,Strongly disagree,Yes
Student,Nursing and midwifery,Undergraduate,2nd,Kilifi,Public,Satisfied,Good,Excellent,Excellent,Good,Good,Good,Satisfied,Good,Teachers/School Counsellors,,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Abroad,Likely,4,2,1,3,5,7,6,Yes,Sometimes,2,4,3,6,9,5,7,1,10,8,11,Neutral,Neutral,Yes
Student,Medicine and Surgery,Undergraduate,4th,Nairobi,Public,Satisfied,Good,Excellent,Good,Good,Good,Good,Neither satisfied nor dissatisfied,Good,Parents/Family,,"No, I did not receive career guidance",,,,,Yes,Important,Moderately important,Very Important,Somewhat important,Somewhat important,Very Important,Important,In my home country,Neither likely nor unlikely,1,4,2,3,7,6,5,Yes,Rarely,1,4,3,2,5,6,10,7,8,9,11,Agree,Agree,Yes
Student,Nursing and midwifery,Undergraduate,3rd,Kakamega,Public,Neither satisfied nor dissatisfied,Good,Neutral,Good,Neutral,Poor,Neutral,Very dissatisfied,Neutral,Peers/Friends,,"Some guidance, but informal",Satisfied,Somewhat,More information on job prospects,,Yes,Moderately important,Somewhat important,Very Important,Important,Very Important,Very Important,Somewhat important,Abroad,Neither likely nor unlikely,1,2,3,4,6,5,7,Yes,Sometimes,3,11,4,5,7,6,10,1,8,9,2,Neutral,Neutral,Not Sure
Student,Physiotherapy,Undergraduate,3rd,Kakamega,Public,Neither satisfied nor dissatisfied,Excellent,Neutral,Good,Very Poor,Very Poor,Very Good,Neither satisfied nor dissatisfied,Excellent,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Undecided,Very likely,1,2,3,5,7,6,4,Yes,Never,2,7,4,3,6,5,8,1,10,9,11,Disagree,Neutral,Yes
Student,Nursing and midwifery,Undergraduate,3rd,Kakamega,Public,Satisfied,Good,Good,Good,Excellent,Good,Very Good,Neither satisfied nor dissatisfied,Good,A healthcare professional or mentor,,"Some guidance, but informal",Satisfied,Yes,More information on job prospects,,Yes,Important,Important,Very Important,Important,Moderately important,Important,Important,Abroad,Very unlikely,1,2,4,5,3,6,7,Yes,Never,1,2,5,6,3,4,7,10,9,11,8,Agree,Neutral,Yes
Student,Nursing and midwifery,Undergraduate,4th,Machakos,Private for profit,Satisfied,Good,Excellent,Excellent,Excellent,Excellent,Very Poor,Very dissatisfied,Neutral,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Very Important,Very Important,Moderately important,Very Important,Very Important,Abroad,Very likely,1,3,2,5,6,4,7,No,Sometimes,1,5,2,3,6,7,8,9,4,10,11,Agree,Strongly agree,No
Student,Dental and oral health,Undergraduate,2nd,Kiambu,Private for profit,Very satisfied,Good,Good,Excellent,Excellent,Excellent,Very Good,Satisfied,Good,Parents/Family,,"Yes, formal/structured guidance",Very satisfied,Yes,Exposure to healthcare professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student,Nursing and midwifery,Undergraduate,3rd,Kilifi,Public,Satisfied,Neutral,Good,Good,Neutral,Neutral,Neutral,Satisfied,Good,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Important,Moderately important,Important,Important,Important,Important,Moderately important,Abroad,Likely,1,2,3,6,4,7,5,Yes,Rarely,1,10,2,3,5,6,7,4,9,8,11,Neutral,Agree,Yes
Student,Dental and oral health,Diploma,3rd,Kiambu,Private for profit,Very dissatisfied,Good,Good,Excellent,Good,Good,Very Good,Satisfied,Excellent,A healthcare professional or mentor,,"Some guidance, but informal",Very satisfied,Yes,Exposure to healthcare professionals,,Yes,Important,Moderately important,Moderately important,Important,Important,Very Important,Very Important,In my home country,Neither likely nor unlikely,3,4,1,2,7,6,5,Yes,Sometimes,2,7,6,5,8,4,9,1,10,3,11,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,2nd,Kisumu,Public,Satisfied,Good,Excellent,Good,Neutral,Good,Good,Neither satisfied nor dissatisfied,Excellent,My own personal research,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Better understanding of academic demands,,Yes,Very Important,Important,Moderately important,Very Important,Very Important,Very Important,Very Important,Undecided,Neither likely nor unlikely,5,4,2,3,7,6,1,Yes,Never,4,10,3,2,5,7,8,1,11,6,9,Disagree,Agree,No
Student,Clinical Medicine,Undergraduate,2nd,Kirinyaga,Public,Satisfied,Good,Good,Good,Good,Good,Good,Satisfied,Excellent,My own personal research,,"Yes, formal/structured guidance",Very satisfied,Yes,Better understanding of academic demands,,Yes,Very Important,Important,Important,Important,Very Important,Very Important,Very Important,Abroad,Neither likely nor unlikely,4,3,1,2,6,5,7,Not sure,Never,2,10,5,4,3,8,7,1,11,6,9,Disagree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Kiambu,Public,Satisfied,Excellent,Excellent,Excellent,Good,Excellent,Neutral,Neither satisfied nor dissatisfied,Good,My own personal research,,"Some guidance, but informal",Neither satisfied nor dissatisfied,No,Exposure to healthcare professionals,,Yes,Important,Important,Very Important,Very Important,Important,Very Important,Important,Abroad,Likely,2,1,3,4,7,5,6,Yes,Never,4,1,6,5,9,7,8,2,10,3,11,Neutral,Neutral,Yes
Student,HEALTH INSURANCE MANAGEMENT ,Diploma,1st,Nairobi,Public,Very satisfied,Neutral,Good,Neutral,Good,Good,Good,Satisfied,Good,A healthcare professional or mentor,,"Yes, formal/structured guidance",Satisfied,Yes,More information on job prospects,,Yes,Very Important,Important,Very Important,Very Important,Very Important,Important,Very Important,In my home country,Likely,2,3,1,7,5,6,4,Yes,Never,1,4,3,2,5,6,11,7,8,9,10,Strongly agree,Strongly agree,Yes
Student,Clinical Medicine,Undergraduate,4th,Kisumu,Private for profit,Satisfied,Good,Neutral,Neutral,Neutral,Neutral,Good,Dissatisfied,Good,Teachers/School Counsellors,,"Yes, formal/structured guidance",Satisfied,Somewhat,Exposure to healthcare professionals,,No,Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Abroad,Very likely,1,2,5,7,6,3,4,Yes,Sometimes,3,11,5,7,4,6,9,1,10,2,8,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,4th,Nairobi,Public,Satisfied,Good,Poor,Neutral,Neutral,Poor,Good,Dissatisfied,Good,Teachers/School Counsellors,,"Some guidance, but informal",Dissatisfied,No,Better understanding of academic demands,,No,Very Important,Somewhat important,Important,Important,Somewhat important,Very Important,Very Important,In my home country,unlikely,7,2,3,1,5,6,4,Not sure,Sometimes,5,11,6,2,8,3,9,1,7,4,10,Disagree,Neutral,Not Sure
Student,Physiotherapy x,Diploma,5th and above,Nairobi,Public,Satisfied,Excellent,Excellent,Excellent,Good,Excellent,Very Good,Satisfied,Good,A healthcare professional or mentor,,"Yes, formal/structured guidance",Satisfied,Yes,Exposure to healthcare professionals,,Yes,Very Important,Important,Very Important,Important,Moderately important,Very Important,Very Important,Undecided,Very likely,1,2,3,4,5,6,7,Yes,Never,1,2,3,4,7,6,8,5,9,10,11,Strongly agree,Agree,Yes
Student,Clinical Medicine,Undergraduate,3rd,Kiambu,Private for profit,Satisfied,Good,Good,Good,Excellent,Neutral,Good,Satisfied,Excellent,Parents/Family,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Better understanding of academic demands,,Prefer not to say,Very Important,Important,Very Important,Very Important,Moderately important,Very Important,Very Important,In my home country,Very likely,5,4,1,2,7,6,3,No,Usually,6,1,5,2,7,3,8,10,4,9,11,Neutral,Neutral,No
Student,Physiotherapy ,Diploma,2nd,Nairobi,Public,Very satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Satisfied,Good,My own personal research,,"Yes, formal/structured guidance",Satisfied,Yes,Exposure to healthcare professionals,,Yes,Very Important,Important,Important,Important,Important,Important,Important,Undecided,Likely,3,1,4,2,6,5,7,Yes,Never,1,2,3,4,5,6,10,7,8,9,11,Agree,Strongly agree,Yes
Student,Medical engineering ,Certificate,1st,Makueni,Public,Very satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Very satisfied,Excellent,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Abroad,Neither likely nor unlikely,4,3,1,2,5,6,7,Yes,Never,1,2,3,10,4,5,6,8,9,7,11,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nakuru,Public,Very dissatisfied,Good,Good,Good,Good,Excellent,Good,Neither satisfied nor dissatisfied,Good,Parents/Family,,"Some guidance, but informal",Neither satisfied nor dissatisfied,No,Career counselling sessions,,No,Very Important,Important,Very Important,Moderately important,Important,Somewhat important,Very Important,In my home country,Neither likely nor unlikely,2,4,3,1,6,7,5,No,Never,1,10,3,2,7,5,6,4,9,8,11,Agree,Agree,Yes
Student,Dental and oral health,Undergraduate,3rd,Kiambu,Private for profit,Very satisfied,Excellent,Good,Good,Excellent,Good,Good,Satisfied,Good,My own personal research,,"Some guidance, but informal",Satisfied,Yes,More information on job prospects,,Yes,Important,Important,Important,Important,Important,Important,Important,In my home country,Very likely,4,1,2,3,6,5,7,Yes,Rarely,2,4,7,1,8,6,5,3,9,10,11,Agree,Agree,Yes
Student,Dental and oral health,Undergraduate,2nd,Kiambu,Private for profit,Neither satisfied nor dissatisfied,Good,Neutral,Good,Neutral,Good,Neutral,Neither satisfied nor dissatisfied,Neutral,Parents/Family,,"Yes, formal/structured guidance",Satisfied,Yes,Better understanding of academic demands,,Yes,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Abroad,Neither likely nor unlikely,6,4,1,3,7,2,5,No,Sometimes,,,,,,,,,,,,Neutral,Strongly agree,No
Student,Medicine and Surgery,Undergraduate,2nd,Nairobi,Public,Dissatisfied,Neutral,Excellent,Poor,Good,Very Poor,Very Poor,Dissatisfied,Excellent,My own personal research,,"Yes, formal/structured guidance",Very satisfied,Yes,Better understanding of academic demands,,Yes,Very Important,Moderately important,Very Important,Very Important,Very Important,Very Important,Very Important,In my home country,Very unlikely,3,4,2,1,7,6,5,Yes,Sometimes,2,6,3,1,5,4,7,9,11,8,10,Strongly disagree,Agree,No
Student,Medicine and Surgery,Undergraduate,5th and above,Nairobi,Public,Very satisfied,Excellent,Good,Good,Good,Good,Poor,Dissatisfied,Poor,My own personal research,,"Some guidance, but informal",Satisfied,Yes,More information on job prospects,,Yes,Very Important,Very Important,Very Important,Somewhat important,Important,Very Important,Very Important,Undecided,Likely,3,1,2,4,5,6,7,Yes,Rarely,6,9,2,1,3,4,8,5,10,7,11,Agree,Agree,Yes
Student,Clinical Medicine,Undergraduate,4th,Kiambu,Private for profit,Satisfied,Good,Good,Good,Good,Neutral,Good,Neither satisfied nor dissatisfied,Good,Parents/Family,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Career counselling sessions,,Yes,Very Important,Important,Very Important,Moderately important,Moderately important,Very Important,Very Important,Undecided,Very likely,3,4,1,2,7,6,5,Not sure,Rarely,1,11,2,4,3,6,9,10,7,5,8,Agree,Agree,Not Sure
Student,Medicine and Surgery,Diploma,3rd,Nyeri,Public,Satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Satisfied,Excellent,My own personal research,,"Yes, formal/structured guidance",Satisfied,Yes,Exposure to healthcare professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student,Medicine and Surgery,Undergraduate,4th,Nairobi,Public,Satisfied,Good,Good,Poor,Neutral,Good,Poor,Very dissatisfied,Poor,Other (please specify),Personal interest ,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,More information on job prospects,,Yes,Very Important,Important,Important,Somewhat important,Moderately important,Important,Very Important,Undecided,Likely,1,2,4,7,5,3,6,Yes,Rarely,1,3,4,5,9,6,7,2,11,8,10,Neutral,Agree,No
Student,Dental and oral health,Undergraduate,3rd,Kiambu,Private not for profit (Faith Based),Very satisfied,Excellent,Good,Excellent,Excellent,Excellent,Very Good,Very satisfied,Excellent,My own personal research,,"Yes, formal/structured guidance",Very satisfied,Yes,Exposure to healthcare professionals,,Yes,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,In my home country,Very likely,6,3,2,4,5,7,1,Yes,Never,1,2,5,4,8,6,10,3,11,7,9,Strongly agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nakuru,Public,Satisfied,Excellent,Excellent,Good,Good,Good,Good,Neither satisfied nor dissatisfied,Excellent,My own personal research,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Career counselling sessions,,Yes,Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Undecided,Likely,3,4,5,6,7,2,1,Yes,Rarely,1,4,3,6,8,5,7,2,11,9,10,Agree,Agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nakuru,Public,Satisfied,Good,Good,Good,Good,Good,Good,Dissatisfied,Good,My own personal research,,"No, I did not receive career guidance",,,,,No,Very Important,Very Important,Very Important,Not important,Somewhat important,Important,Very Important,Undecided,Likely,4,3,2,1,6,5,7,Yes,Never,1,3,4,5,8,6,7,2,9,10,11,Agree,Agree,Yes
Student,Dental and oral health,Undergraduate,4th,Kiambu,Private for profit,Satisfied,Neutral,Neutral,Neutral,Good,Neutral,Good,Satisfied,Good,My own personal research,,"No, I did not receive career guidance",,,,,Yes,Important,Important,Important,Moderately important,Somewhat important,Very Important,Important,Abroad,unlikely,7,2,1,5,6,4,3,No,Sometimes,2,6,3,4,5,7,9,1,10,11,8,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,4th,Uasin Gishu,Public,Satisfied,Excellent,Good,Good,Neutral,Good,Poor,Dissatisfied,Good,Parents/Family,,"No, I did not receive career guidance",,,,,Yes,Somewhat important,Important,Important,Moderately important,Very Important,Very Important,Important,In my home country,Very likely,6,1,3,5,4,2,7,Yes,Sometimes,2,4,1,3,6,7,5,8,9,10,11,Neutral,Agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nakuru,Public,Satisfied,Excellent,Good,Good,Good,Good,Neutral,Neither satisfied nor dissatisfied,Good,My own personal research,,"Some guidance, but informal",Dissatisfied,No,Exposure to healthcare professionals,,Yes,Very Important,Moderately important,Very Important,Very Important,Very Important,Very Important,Very Important,Undecided,Very likely,1,4,3,2,7,6,5,Yes,Rarely,2,4,7,5,6,3,8,1,10,9,11,Agree,Strongly agree,Yes
Student,Medicine and Surgery,Undergraduate,5th and above,Nakuru,Public,Dissatisfied,Good,Poor,Good,Neutral,Neutral,Very Good,Dissatisfied,Excellent,A healthcare professional or mentor,,"No, I did not receive career guidance",,,,,Yes,Very Important,Important,Very Important,Important,Important,Very Important,Very Important,In my home country,unlikely,2,1,3,4,6,5,7,Yes,Never,2,5,1,6,3,4,9,8,10,11,7,Neutral,Disagree,Yes
Student,Radiography and imaging ,Diploma,2nd,Nairobi,Public,Satisfied,Good,Good,Good,Good,Good,Good,Satisfied,Good,Parents/Family,,"No, I did not receive career guidance",,,,,Yes,Very Important,Important,Very Important,Important,Important,Very Important,Very Important,Undecided,Neither likely nor unlikely,2,1,3,4,5,6,7,Yes,Never,4,3,5,1,2,6,7,8,9,10,11,Agree,Agree,Yes
Student,Medicine and Surgery,Diploma,3rd,Kwale,Public,Very satisfied,Excellent,Good,Good,Neutral,Poor,Very Poor,Dissatisfied,Neutral,Teachers/School Counsellors,,"Some guidance, but informal",Neither satisfied nor dissatisfied,Somewhat,Exposure to healthcare professionals,,Yes,Very Important,Important,Very Important,Important,Not important,Important,Important,Undecided,Likely,1,2,3,4,7,5,6,Yes,Always,2,5,1,3,7,4,8,9,6,10,11,Neutral,Agree,Not Sure
Student,Medical engineering ,Diploma,3rd,Nairobi,Private for profit,Satisfied,Good,Poor,Neutral,Good,Neutral,Neutral,Dissatisfied,Neutral,Parents/Family,,"Yes, formal/structured guidance",Neither satisfied nor dissatisfied,Somewhat,Career counselling sessions,,No,Moderately important,Somewhat important,Important,Very Important,Somewhat important,Moderately important,Moderately important,Abroad,Very likely,1,2,3,4,5,6,7,Yes,Never,1,2,3,4,5,6,7,8,10,9,11,Neutral,Neutral,Yes
